Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2020-12-06 00:00:00,УЭ ,Мойка ,Керхер,Эксплатационный износ,                             ,УЭ  Мойка  Керхер Эксплатационный износ,                             
2020-12-07 00:00:00,УЭ ,Мойка ТТ,ЖКУ-250,Эксплатационный износ,Замена,УЭ  Мойка ТТ ЖКУ-250 Эксплатационный износ,Замена
2020-12-08 00:00:00,УЭ ,"ВЛЗ №20  6кВ  ""Дамба""",РЛ Рх20,"Обрыв 2-х проводов, деформация губок подвижных контактов","Замена пролёта; ремонт, регулировка разъединителя","УЭ  ВЛЗ №20  6кВ  ""Дамба"" РЛ Рх20 Обрыв 2-х проводов, деформация губок подвижных контактов","Замена пролёта; ремонт, регулировка разъединителя"
2020-12-09 00:00:00,УЭ ,Общежития №1-8 посёлок,Освещение входа,Эксплатационный износ,"Замена, обслуживание",УЭ  Общежития №1-8 посёлок Освещение входа Эксплатационный износ,"Замена, обслуживание"
2020-12-10 00:00:00,УЭ ,Склад ,Вводной щиток,Нагрев контактов,Замена,УЭ  Склад  Вводной щиток Нагрев контактов,Замена
2020-12-11 00:00:00,УЭ ,Столовая Поселок ,Линия раздачи,Эксплатационный износ,Замена,УЭ  Столовая Поселок  Линия раздачи Эксплатационный износ,Замена
2020-12-12 00:00:00,УЭ ,Подбаза УВО,"балок ООО""Профмакс""",Работа по заявке,Монтаж,"УЭ  Подбаза УВО балок ООО""Профмакс"" Работа по заявке",Монтаж
2020-12-13 00:00:00,УЭ ,ЦСО ГТТ,Сверл-ый станок SRB-50,Эксплатационный износ,Обслуживание,УЭ  ЦСО ГТТ Сверл-ый станок SRB-50 Эксплатационный износ,Обслуживание
2020-12-14 00:00:00,УЭ ,Подбаза РБП,Жил.балок,Эксплатационный износ,Замена,УЭ  Подбаза РБП Жил.балок Эксплатационный износ,Замена
2020-12-15 00:00:00,УЭ ,Общежития №№1-8 посёлок,Работа по заявкам,Эксплатационный износ,"Замена, обслуживание",УЭ  Общежития №№1-8 посёлок Работа по заявкам Эксплатационный износ,"Замена, обслуживание"
2020-12-16 00:00:00,УЭ ,КОС-120,Светильник потолочный светодиодный,Перегрев,Демонтаж,УЭ  КОС-120 Светильник потолочный светодиодный Перегрев,Демонтаж
2020-12-17 00:00:00,УЭ ,Посёлок. Прачечная,Стиральная машина,Эксплуатационный износ,Замена,УЭ  Посёлок. Прачечная Стиральная машина Эксплуатационный износ,Замена
2020-12-18 00:00:00,УЭ ,Посёлок. Спортзал,Компрессор,Эксплуатационный износ,Замена,УЭ  Посёлок. Спортзал Компрессор Эксплуатационный износ,Замена
2020-12-19 00:00:00,УЭ ,Посёлок. Общ.№2,Тепловая завеса,Эксплуатационный износ,Замена,УЭ  Посёлок. Общ.№2 Тепловая завеса Эксплуатационный износ,Замена
2020-12-20 00:00:00,УЭ ,Производств.  корпус ,ЩУО,Эксплуатационный износ,Замена,УЭ  Производств.  корпус  ЩУО Эксплуатационный износ,Замена
2020-12-21 00:00:00,УЭ ,"ООО ""ТрансСтрой""",Щит учёта,Эксплуатационный износ,Замена,"УЭ  ООО ""ТрансСтрой"" Щит учёта Эксплуатационный износ",Замена
2020-12-22 00:00:00,УЭ ,"КПП ""Светлый"", КПП ""Хвосты""",Свет-к светод. Gauss 8W IP65 6500K 1/13,Эксплуатационный износ,Замена,"УЭ  КПП ""Светлый"", КПП ""Хвосты"" Свет-к светод. Gauss 8W IP65 6500K 1/13 Эксплуатационный износ",Замена
2020-12-23 00:00:00,УЭ ,"ВЛЗ №1  6кВ  ""ВПС-1""",Свет-к THORN HI 2000/12V-105.80H-37,Эксплуатационный износ,Замена,"УЭ  ВЛЗ №1  6кВ  ""ВПС-1"" Свет-к THORN HI 2000/12V-105.80H-37 Эксплуатационный износ",Замена
2020-12-24 00:00:00,УЭ ,Посёлок. Прачечная,Стиральная машина,Эксплуатационный износ,Замена,УЭ  Посёлок. Прачечная Стиральная машина Эксплуатационный износ,Замена
2020-12-25 00:00:00,УЭ ,Посёлок. Общ.№2,Тепловая завеса,Эксплуатационный износ,Замена,УЭ  Посёлок. Общ.№2 Тепловая завеса Эксплуатационный износ,Замена
2020-12-26 00:00:00,УЭ ,АБК. Столовая,Тепловая завеса,Эксплуатационный износ,Замена,УЭ  АБК. Столовая Тепловая завеса Эксплуатационный износ,Замена
2020-12-27 00:00:00,УЭ ,Посёлок. Общ.№3,Тепловая завеса,Эксплуатационный износ,Замена,УЭ  Посёлок. Общ.№3 Тепловая завеса Эксплуатационный износ,Замена
2020-12-28 00:00:00,УЭ ,"Посёлок. Общ.2,3,5","Табличка ""Выход""",Эксплуатационный износ,Замена,"УЭ  Посёлок. Общ.2,3,5 Табличка ""Выход"" Эксплуатационный износ",Замена
2020-12-29 00:00:00,УЭ ,а/д Развилка№7  до Отвал-2,ВЛИ№10  ,Старение,Замена,УЭ  а/д Развилка№7  до Отвал-2 ВЛИ№10   Старение,Замена
2020-12-30 00:00:00,УЭ ,Столовая АБК,Электроплита,Эксплатационный износ,Ремонт,УЭ  Столовая АБК Электроплита Эксплатационный износ,Ремонт
2020-12-31 00:00:00,УЭ ,Столовая АБК,Освещение цеха,Эксплатационный износ,Ремонт,УЭ  Столовая АБК Освещение цеха Эксплатационный износ,Ремонт
2021-01-01 00:00:00,УЭ ,Столовая АБК,Освещение кухни,Эксплатационный износ,Ремонт,УЭ  Столовая АБК Освещение кухни Эксплатационный износ,Ремонт
2021-01-02 00:00:00,УЭ ,Посёлок. Общ.№2,Тепловая завеса,Эксплуатационный износ,Замена,УЭ  Посёлок. Общ.№2 Тепловая завеса Эксплуатационный износ,Замена
2021-01-03 00:00:00,УЭ ,ТП-107о,Мачта освещения МО-2,Эксплуатационный износ,Замена,УЭ  ТП-107о Мачта освещения МО-2 Эксплуатационный износ,Замена
2021-01-04 00:00:00,УЭ ,"ВЛЗ №3/2 6кВ ""ОФ №2""","ВЛЗ №3/2 6кВ ""ОФ №2""","Подгорание соединения, ухудшение контакта",Замена на  зажим соединительный плашечный ПА-4-1,"УЭ  ВЛЗ №3/2 6кВ ""ОФ №2"" ВЛЗ №3/2 6кВ ""ОФ №2"" Подгорание соединения, ухудшение контакта",Замена на  зажим соединительный плашечный ПА-4-1
2021-01-05 00:00:00,УЭ ,"ВЛЗ №3/2 6кВ ""ОФ №2""","ВЛЗ №3/2 6кВ ""ОФ №2""","Подгорание соединения, ухудшение контакта",Замена на  зажим соединительный плашечный ПА-4-1,"УЭ  ВЛЗ №3/2 6кВ ""ОФ №2"" ВЛЗ №3/2 6кВ ""ОФ №2"" Подгорание соединения, ухудшение контакта",Замена на  зажим соединительный плашечный ПА-4-1
2021-01-06 00:00:00,УЭ ,"ВЛЗ №1 6кВ ""ВПС-1""",РЛ РВ69-1а,Прихват приводного механизма,"ТО, регулировка разъединителя","УЭ  ВЛЗ №1 6кВ ""ВПС-1"" РЛ РВ69-1а Прихват приводного механизма","ТО, регулировка разъединителя"
2021-01-07 00:00:00,УЭ ,АЗС ПП,Топливный насос,Межвитковое КЗ обмоток статора,Замена,УЭ  АЗС ПП Топливный насос Межвитковое КЗ обмоток статора,Замена
2021-01-07 00:00:00,УЭ ,"ВЛЗ №1 6кВ ""ВПС-1""",РЛ РВ29-1а,Прихват приводного механизма,"ТО, регулировка разъединителя","УЭ  ВЛЗ №1 6кВ ""ВПС-1"" РЛ РВ29-1а Прихват приводного механизма","ТО, регулировка разъединителя"
2021-01-08 00:00:00,УЭ ,Ангар№2,Освещение,Подгорание соединения,Ревизия,УЭ  Ангар№2 Освещение Подгорание соединения,Ревизия
2021-01-09 00:00:00,УЭ ,Отвал №2,Мачта освещения ПМ-15,Перегорание лампы,Замена лампы,УЭ  Отвал №2 Мачта освещения ПМ-15 Перегорание лампы,Замена лампы
2021-01-10 00:00:00,УЭ ,Ангар№3,Освещение,Подгорание соединения,Ревизия,УЭ  Ангар№3 Освещение Подгорание соединения,Ревизия
2021-01-11 00:00:00,УЭ ,Столовая АБК,Освещение,Плата ,Ремонт,УЭ  Столовая АБК Освещение Плата ,Ремонт
2021-01-12 00:00:00,УЭ ,Посёлок. Общ.№4,Освещение,Перегорание лампы,Замена лампы,УЭ  Посёлок. Общ.№4 Освещение Перегорание лампы,Замена лампы
2021-01-13 00:00:00,УЭ ,РБП,ЩР,Эксплатационный износ,Замена,УЭ  РБП ЩР Эксплатационный износ,Замена
2021-01-14 00:00:00,УЭ ,Столовая АБК,Кухонное оборудование,Неисправность кнопки,Ремонт,УЭ  Столовая АБК Кухонное оборудование Неисправность кнопки,Ремонт
2021-01-15 00:00:00,УЭ ,Ангар №3,Обогрев,Неисправность вилки,Замена,УЭ  Ангар №3 Обогрев Неисправность вилки,Замена
2021-01-16 00:00:00,УЭ ,Слесарная ГСМ,Освещение,Эксплатационный износ,Замена,УЭ  Слесарная ГСМ Освещение Эксплатационный износ,Замена
2021-01-17 00:00:00,УЭ ,Столовая АБК,Кухонное оборудование,Неисправность терморегулятора,Замена,УЭ  Столовая АБК Кухонное оборудование Неисправность терморегулятора,Замена
2021-01-18 00:00:00,УЭ ,Столовая АБК,Кухонное оборудование,Неисправность ТЭНов,Замена,УЭ  Столовая АБК Кухонное оборудование Неисправность ТЭНов,Замена
2021-01-19 00:00:00,УЭ ,Посёлок,Уличное освещение,Неисправность диодного модуля,Замена,УЭ  Посёлок Уличное освещение Неисправность диодного модуля,Замена
2021-01-20 00:00:00,УЭ ,Прачечная посёлка,Освещение,Неисправность диодного модуля,Замена светильника,УЭ  Прачечная посёлка Освещение Неисправность диодного модуля,Замена светильника
2021-01-21 00:00:00,УЭ ,Здание ЦСО Э,Освещение,Неисправность диодного модуля,Замена светильника,УЭ  Здание ЦСО Э Освещение Неисправность диодного модуля,Замена светильника
2021-01-22 00:00:00,УЭ ,АБК,Розетки 220В,Перегрузка сети,Монтаж дополнительной эл. линии,УЭ  АБК Розетки 220В Перегрузка сети,Монтаж дополнительной эл. линии
2021-01-23 00:00:00,УЭ ,ЦСО ГТТ,Токарный станок,Эксплатационный износ,Замена,УЭ  ЦСО ГТТ Токарный станок Эксплатационный износ,Замена
2021-01-24 00:00:00,УЭ ,Столовая АБК,Электросковорода,Эксплатационный износ,Замена,УЭ  Столовая АБК Электросковорода Эксплатационный износ,Замена
2021-01-25 00:00:00,УЭ ,Мачта освещения,Уличное освещение,Эксплатационный износ,Замена ,УЭ  Мачта освещения Уличное освещение Эксплатационный износ,Замена 
2021-01-26 00:00:00,УЭ ,ЦСО ГТТ,Шлифовальный станок,Эксплатационный износ,Замена ,УЭ  ЦСО ГТТ Шлифовальный станок Эксплатационный износ,Замена 
2021-01-27 00:00:00,УЭ ,Столовая посёлка,Освещение,Эксплатационный износ,Замена ,УЭ  Столовая посёлка Освещение Эксплатационный износ,Замена 
2021-01-28 00:00:00,УЭ ,Прачечная посёлка,Стиральная машина,Эксплатационный износ,Замена ,УЭ  Прачечная посёлка Стиральная машина Эксплатационный износ,Замена 
2021-01-29 00:00:00,УЭ ,Ангар №2,Освещение,Эксплатационный износ,Замена ,УЭ  Ангар №2 Освещение Эксплатационный износ,Замена 
2021-01-30 00:00:00,УЭ ,РБП,Обогрев,Неисправность терморегулятора,Ремонт,УЭ  РБП Обогрев Неисправность терморегулятора,Ремонт
2021-01-31 00:00:00,УЭ ,РБП,Частотный преобразователь,Эксплатационный износ,Замена ,УЭ  РБП Частотный преобразователь Эксплатационный износ,Замена 
2021-02-01 00:00:00,УЭ ,Прачечная посёлка,Стиральная машина,Износ барабаном,Замена ,УЭ  Прачечная посёлка Стиральная машина Износ барабаном,Замена 
2021-02-02 00:00:00,УЭ ,Столовая АБК,Освещение,Неисправность диодного модуля,Замена ,УЭ  Столовая АБК Освещение Неисправность диодного модуля,Замена 
2021-02-03 00:00:00,УЭ ,Столовая АБК,Лента для подачи посуды в мойку,Вибрации,Регулировка,УЭ  Столовая АБК Лента для подачи посуды в мойку Вибрации,Регулировка
2021-02-04 00:00:00,УЭ ,ЦСО ГТТ,Освещение,Неисправность диодной ленты,Демонтаж,УЭ  ЦСО ГТТ Освещение Неисправность диодной ленты,Демонтаж
2021-02-05 00:00:00,УЭ ,ТП-61п,РУ 6кВ Ввод-2,Перекос ножей,Регулировка,УЭ  ТП-61п РУ 6кВ Ввод-2 Перекос ножей,Регулировка
2021-02-06 00:00:00,УЭ ,ТП-61п,РУ 6кВ Ввод-2,Слом тяговой шпильки,Изготовление и монтаж тяги,УЭ  ТП-61п РУ 6кВ Ввод-2 Слом тяговой шпильки,Изготовление и монтаж тяги
2021-02-07 00:00:00,УЭ ,РБП,Освещение,Обледенение,Чистка и ревизия,УЭ  РБП Освещение Обледенение,Чистка и ревизия
2021-02-08 00:00:00,УЭ ,ТП-63,"Замок РУ 0,4",Срез резьбы,"Снятие, изготовление, монтаж замка","УЭ  ТП-63 Замок РУ 0,4 Срез резьбы","Снятие, изготовление, монтаж замка"
2021-02-09 00:00:00,УЭ ,АБК,Отдел главного маркшейдера,Недостаточное количество,Монтаж дополнительных внутренних розеток,УЭ  АБК Отдел главного маркшейдера Недостаточное количество,Монтаж дополнительных внутренних розеток
2021-02-10 00:00:00,УЭ ,Ремонт П.Ч.,Освещение,Неисправность тр-ра,Замена,УЭ  Ремонт П.Ч. Освещение Неисправность тр-ра,Замена
2021-02-11 00:00:00,УЭ ,РБП,Частотный преобразователь,Эксплатационный износ,Ремонт,УЭ  РБП Частотный преобразователь Эксплатационный износ,Ремонт
2021-02-12 00:00:00,УЭ ,Производств.  корпус ,Освещение,Перегорание лампы,Замена,УЭ  Производств.  корпус  Освещение Перегорание лампы,Замена
2021-02-13 00:00:00,УЭ ,АБК,Освещение,Неисправность диодного модуля,Ремонт,УЭ  АБК Освещение Неисправность диодного модуля,Ремонт
2021-02-14 00:00:00,УЭ ,АБК,Освещение,Неисправность диодного модуля,Ремонт,УЭ  АБК Освещение Неисправность диодного модуля,Ремонт
2021-02-15 00:00:00,УЭ ,Ангар№3,Тепловая пушка,Заклинивание подшипника,Ремонт,УЭ  Ангар№3 Тепловая пушка Заклинивание подшипника,Ремонт
2021-02-16 00:00:00,УЭ ,Производств.  корпус ,Освещение,Неисправность диодного модуля,Ремонт,УЭ  Производств.  корпус  Освещение Неисправность диодного модуля,Ремонт
2021-02-17 00:00:00,УЭ ,Производств.  корпус ,Розетка 380В,Повреждениякорпуса,Замена,УЭ  Производств.  корпус  Розетка 380В Повреждениякорпуса,Замена
2021-02-18 00:00:00,УЭ ,Общежития №5-6 посёлок,Освещение,Перегорание диодного модуля,Замена,УЭ  Общежития №5-6 посёлок Освещение Перегорание диодного модуля,Замена
2021-02-19 00:00:00,УЭ ,Ангар№3,Тепловая пушка,Перегорел,Замена,УЭ  Ангар№3 Тепловая пушка Перегорел,Замена
2021-02-20 00:00:00,УЭ ,Производств.  корпус ,Токарный станок,Перегорание лампы,Замена,УЭ  Производств.  корпус  Токарный станок Перегорание лампы,Замена
2021-02-21 00:00:00,УЭ ,Производств.  корпус ,Силовой удлинитель,Передавлен,Ремонт,УЭ  Производств.  корпус  Силовой удлинитель Передавлен,Ремонт
2021-02-21 00:00:00,УЭ ,РБП,Источник питания GSV 3000,Перегорание диодного моста,Ремонт,УЭ  РБП Источник питания GSV 3000 Перегорание диодного моста,Ремонт
2021-02-22 00:00:00,УЭ ,ЦСО Э,Тепловая пушка,Отгорание контакта,Замена,УЭ  ЦСО Э Тепловая пушка Отгорание контакта,Замена
2021-02-22 00:00:00,УЭ ,ЦСО Э,Наждак,Отгорание контакта,Замена,УЭ  ЦСО Э Наждак Отгорание контакта,Замена
2021-02-23 00:00:00,УЭ ,Автобаза,Электропривод ворот,Выход из строя,Замена,УЭ  Автобаза Электропривод ворот Выход из строя,Замена
2021-02-24 00:00:00,УЭ ,РБП,Блок питания RS-20A-220E,Перегорание диодного моста,Ремонт,УЭ  РБП Блок питания RS-20A-220E Перегорание диодного моста,Ремонт
2021-02-27 00:00:00,УЭ ,"Столовая, поселок",Тепловая завеса,Отгорание контакта,Замена,"УЭ  Столовая, поселок Тепловая завеса Отгорание контакта",Замена
2021-02-28 00:00:00,УЭ ,СКОК,ЩС,Отгорание проводов,Замена,УЭ  СКОК ЩС Отгорание проводов,Замена
2021-03-01 00:00:00,УЭ ,ЦСО ГТТ,Удлинитель,Замыкание,Ремонт,УЭ  ЦСО ГТТ Удлинитель Замыкание,Ремонт
2021-03-02 00:00:00,УЭ ,РБП,Погружной насос,Недостаточная длина,Замена,УЭ  РБП Погружной насос Недостаточная длина,Замена
2021-03-03 00:00:00,УЭ ,ЦСО ГТТ,Удлинитель,"Отгорание контакта, оплавление корпуса",Замена,"УЭ  ЦСО ГТТ Удлинитель Отгорание контакта, оплавление корпуса",Замена
2021-03-04 00:00:00,УЭ ,Балок 18 за АБК,Освещение,Механическое повреждение,Замена,УЭ  Балок 18 за АБК Освещение Механическое повреждение,Замена
2021-03-04 00:00:00,УЭ ,Общ 4,Освещение,Эксплуатационный износ,Замена,УЭ  Общ 4 Освещение Эксплуатационный износ,Замена
2021-03-05 00:00:00,УЭ ,"Поселок ""Трансстрой""",ЩС,Межфазное КЗ ,Замена,"УЭ  Поселок ""Трансстрой"" ЩС Межфазное КЗ ",Замена
2021-03-06 00:00:00,УЭ ,ЦСО ГТТ,Тепловая пушка,Механическое повреждение,Ремонт,УЭ  ЦСО ГТТ Тепловая пушка Механическое повреждение,Ремонт
2021-03-07 00:00:00,УЭ ,Прачечная АБК,Стиральная машина,Обрыв спирали,Замена,УЭ  Прачечная АБК Стиральная машина Обрыв спирали,Замена
2021-03-08 00:00:00,УЭ ,Прачечная АБК,ЩС,Выход из строя дифференциального блока.,Замена,УЭ  Прачечная АБК ЩС Выход из строя дифференциального блока.,Замена
2021-03-09 00:00:00,УЭ ,ЦСО ГТТ,Удлинитель,Механическое повреждение,Замена,УЭ  ЦСО ГТТ Удлинитель Механическое повреждение,Замена
2021-03-10 00:00:00,УЭ ,Столовая АБК,Автоматическая дверь,Эксплатационный износ,Замена,УЭ  Столовая АБК Автоматическая дверь Эксплатационный износ,Замена
2021-03-11 00:00:00,УЭ ,Жилой посёлок,Уличное освещение,Эксплуатационный износ лампы,Замена,УЭ  Жилой посёлок Уличное освещение Эксплуатационный износ лампы,Замена
2021-03-12 00:00:00,УЭ ,АБК,Уличное освещение,Эксплуатационный износ лампы,Замена,УЭ  АБК Уличное освещение Эксплуатационный износ лампы,Замена
2021-03-13 00:00:00,УЭ ,Лаборатория АБК,Посудомоечная машина,Эксплатационный износ,Диагностика,УЭ  Лаборатория АБК Посудомоечная машина Эксплатационный износ,Диагностика
2021-03-14 00:00:00,УЭ ,ЦСО ГТТ,Автомобиль маслораздачи ,Эксплатационный износ,Замена,УЭ  ЦСО ГТТ Автомобиль маслораздачи  Эксплатационный износ,Замена
2021-03-15 00:00:00,УЭ ,Жилой посёлок,Освещение душевой,Эксплатационный износ,Замена,УЭ  Жилой посёлок Освещение душевой Эксплатационный износ,Замена
2021-03-16 00:00:00,УЭ ,Гостиница,Сауна,Эксплатационный износ,Замена,УЭ  Гостиница Сауна Эксплатационный износ,Замена
2021-03-17 00:00:00,УЭ ,ЦСО ГТТ,Токарный станок,Эксплатационный износ,Замена,УЭ  ЦСО ГТТ Токарный станок Эксплатационный износ,Замена
2021-03-18 00:00:00,УЭ ,РБП,Кабель насоса,Эксплатационный износ,Замена,УЭ  РБП Кабель насоса Эксплатационный износ,Замена
2021-03-19 00:00:00,УЭ ,КОС-350,Конвекторы 1го этажа,Эксплатационный износ,Замена,УЭ  КОС-350 Конвекторы 1го этажа Эксплатационный износ,Замена
2021-03-20 00:00:00,УЭ ,Столовая АБК,Светильники ,Эксплатационный износ,Замена,УЭ  Столовая АБК Светильники  Эксплатационный износ,Замена
2021-03-21 00:00:00,УЭ ,Общежитие №7,Светильники ,Эксплатационный износ,Замена,УЭ  Общежитие №7 Светильники  Эксплатационный износ,Замена
2021-03-22 00:00:00,УЭ ,Общежитие №3,Светильник,Эксплатационный износ,Замена,УЭ  Общежитие №3 Светильник Эксплатационный износ,Замена
2021-03-23 00:00:00,УЭ ,Жилой посёлок,Уличное освещение,Эксплуатационный износ лампы,Замена,УЭ  Жилой посёлок Уличное освещение Эксплуатационный износ лампы,Замена
2021-03-24 00:00:00,УЭ ,Жилой посёлок,Освещение прачечной,Эксплуатационный износ лампы,Установка,УЭ  Жилой посёлок Освещение прачечной Эксплуатационный износ лампы,Установка
2021-03-25 00:00:00,УЭ ,Жилой посёлок,Освещение прачечной,Эксплатационный износ,Замена,УЭ  Жилой посёлок Освещение прачечной Эксплатационный износ,Замена
2021-03-26 00:00:00,УЭ ,Жилой посёлок,Освещение в общежитии №3,Эксплатационный износ,Замена,УЭ  Жилой посёлок Освещение в общежитии №3 Эксплатационный износ,Замена
2021-03-27 00:00:00,УЭ ,РБП,Удлинитель,Механическое повреждение,Замена,УЭ  РБП Удлинитель Механическое повреждение,Замена
2021-03-28 00:00:00,УЭ ,Медпункт,Освещение,Эксплатационный износ,Замена,УЭ  Медпункт Освещение Эксплатационный износ,Замена
2021-03-29 00:00:00,УЭ ,Жилой посёлок,Освещение в общежитии №6,Эксплатационный износ,Замена,УЭ  Жилой посёлок Освещение в общежитии №6 Эксплатационный износ,Замена
2021-03-30 00:00:00,УЭ ,"Посёлок за АБК, балок №9",Вентиялция,Эксплатационный износ,"Замена выключателя, отсутствие вентилятора для замены","УЭ  Посёлок за АБК, балок №9 Вентиялция Эксплатационный износ","Замена выключателя, отсутствие вентилятора для замены"
2021-03-31 00:00:00,УЭ ,ВЛЗ №19 6кВ,Линейный разъединитель Р19В2,Повреждение целостности глазури,Замена изолятора,УЭ  ВЛЗ №19 6кВ Линейный разъединитель Р19В2 Повреждение целостности глазури,Замена изолятора
2021-04-01 00:00:00,УЭ ,АБК,Пожарная безопасность,Эксплуатационный износ ,Отсутствие запасных частей,УЭ  АБК Пожарная безопасность Эксплуатационный износ ,Отсутствие запасных частей
2021-04-02 00:00:00,УЭ ,Жилой посёлок,Уличное освещение,Эксплуатационный износ лампы,Замена,УЭ  Жилой посёлок Уличное освещение Эксплуатационный износ лампы,Замена
2021-04-03 00:00:00,УЭ ,ЦСО ГТТ,Шлифовальный станок,Эксплуатационный износ ,Замена,УЭ  ЦСО ГТТ Шлифовальный станок Эксплуатационный износ ,Замена
2021-04-04 00:00:00,УЭ ,ЦСО ГТТ,Розетка 380В,Механическое повреждение,Замена,УЭ  ЦСО ГТТ Розетка 380В Механическое повреждение,Замена
2021-04-05 00:00:00,УЭ ,Столовая АБК,Освещение,Эксплуатационный износ ,Замена,УЭ  Столовая АБК Освещение Эксплуатационный износ ,Замена
2021-04-06 00:00:00,УЭ ,Цеппелин,Балок мастера,"Ослабление контактов, увеличение нагрузки ввиду морозов","Замена, ревизия, протяжка","УЭ  Цеппелин Балок мастера Ослабление контактов, увеличение нагрузки ввиду морозов","Замена, ревизия, протяжка"
2021-04-07 00:00:00,УЭ ,"ВЛЗ №3.2 6кВ ""ГДЭС ОФ""",nan,nan,nan,"УЭ  ВЛЗ №3.2 6кВ ""ГДЭС ОФ"" nan nan",nan
2021-04-08 00:00:00,УЭ ,"ВЛЗ №3.2 6кВ ""ГДЭС ОФ""",nan,nan,nan,"УЭ  ВЛЗ №3.2 6кВ ""ГДЭС ОФ"" nan nan",nan
2021-04-25 00:00:00,УЭ ,АЗС ТТ,Уличное освещение ,Эксплуатационный износ ,Замена,УЭ  АЗС ТТ Уличное освещение  Эксплуатационный износ ,Замена
2021-05-06 00:00:00,УЭ ,ВЛЗ№20 ,Линейный разъединитель   Рх20,Отсутствие приемных изоляторов,"Ривизия разъединителя, установка приемных изоляторов",УЭ  ВЛЗ№20  Линейный разъединитель   Рх20 Отсутствие приемных изоляторов,"Ривизия разъединителя, установка приемных изоляторов"
2021-05-07 00:00:00,УЭ ,ТП-101о,Трансформатор ,nan,демонтаж,УЭ  ТП-101о Трансформатор  nan,демонтаж
2021-05-08 00:00:00,УЭ ,ТП-101о,Трансформатор ,nan,монтаж,УЭ  ТП-101о Трансформатор  nan,монтаж
2021-05-09 00:00:00,УЭ ,Р5В74а,Разьеденитель,nan,nan,УЭ  Р5В74а Разьеденитель nan,nan
2021-05-10 00:00:00,УЭ ,Р5В74а,Разьеденитель,nan,ремонт,УЭ  Р5В74а Разьеденитель nan,ремонт
2021-05-12 00:00:00,УЭ ,ТП20к,Подстанция,nan,заплонировать сварочные работы,УЭ  ТП20к Подстанция nan,заплонировать сварочные работы
2021-05-14 00:00:00,УЭ ,АБК и общежития,Светильни выход,Эксплуатационный износ ,Замена,УЭ  АБК и общежития Светильни выход Эксплуатационный износ ,Замена
2021-05-17 00:00:00,УЭ ,Тп-92о,Привод разьеденителя   РВ9-1б,Эксплуатационный износ ,ремонт,УЭ  Тп-92о Привод разьеденителя   РВ9-1б Эксплуатационный износ ,ремонт
2021-05-18 00:00:00,УЭ ,ВЛЗ №11 6кВ,Кабель 6кВ на ПНС-1 ввод №2,Низкое сопртивление изоляции,Разделка концевой муфты,УЭ  ВЛЗ №11 6кВ Кабель 6кВ на ПНС-1 ввод №2 Низкое сопртивление изоляции,Разделка концевой муфты
2021-05-19 00:00:00,УЭ ,ЦСО ГТТ,Шиномонтажный станок,Сработка реле,Сброс реле,УЭ  ЦСО ГТТ Шиномонтажный станок Сработка реле,Сброс реле
2021-05-20 00:00:00,УЭ ,РБП,LED прожекторы,Эксплуатационный износ ,Восстановление ,УЭ  РБП LED прожекторы Эксплуатационный износ ,Восстановление 
2021-05-21 00:00:00,УЭ ,РБП,Освещение балка,Эксплуатационный износ ,Замена,УЭ  РБП Освещение балка Эксплуатационный износ ,Замена
2021-05-22 00:00:00,УЭ ,Столовая АБК,Посудомойка,Попадание остатков пищи,Устранение инородных предметов,УЭ  Столовая АБК Посудомойка Попадание остатков пищи,Устранение инородных предметов
2021-05-23 00:00:00,УЭ ,РБП,Пускатель ПМ-12 на вибраторе,Эксплуатационный износ ,Замена,УЭ  РБП Пускатель ПМ-12 на вибраторе Эксплуатационный износ ,Замена
2021-05-24 00:00:00,УЭ ,РБП,Вводной АВ буровой установки,Не соотвествие настроек новому оборудованию ,Настройка уставок,УЭ  РБП Вводной АВ буровой установки Не соотвествие настроек новому оборудованию ,Настройка уставок
2021-05-25 00:00:00,УЭ ,"ВЛИ 0.4 ""Освещение посёлка за АБК""",Уличные светильники,Слом крепежа от порывов ветра,Монтаж кронштейнов к опорам,"УЭ  ВЛИ 0.4 ""Освещение посёлка за АБК"" Уличные светильники Слом крепежа от порывов ветра",Монтаж кронштейнов к опорам
2021-05-26 00:00:00,УЭ ,Столовая АБК,Транспортёрная автоматическая лента,Эксплуатационный износ механических частей,Подключение и проверка исправности транспортёрной ленты,УЭ  Столовая АБК Транспортёрная автоматическая лента Эксплуатационный износ механических частей,Подключение и проверка исправности транспортёрной ленты
2021-05-27 00:00:00,УЭ ,Посёлок,Освещение туалета 1/38,Эксплуатационный износ ,Замена,УЭ  Посёлок Освещение туалета 1/38 Эксплуатационный износ ,Замена
2021-05-28 00:00:00,УЭ ,ЦСО ГТТ,Освещение,Эксплуатационный износ ,Замена,УЭ  ЦСО ГТТ Освещение Эксплуатационный износ ,Замена
2021-05-29 00:00:00,УЭ ,Столовая Посёлок,Линия раздачи,Эксплуатационный износ ,Отключение,УЭ  Столовая Посёлок Линия раздачи Эксплуатационный износ ,Отключение
2021-05-30 00:00:00,УЭ ,АБК,Туалет,Эксплуатационный износ ,Замена,УЭ  АБК Туалет Эксплуатационный износ ,Замена
